UTC,Open,High,Low,Close,Volume
25.04.2022 17:39:47.000 UTC,0.91433,0.91435,0.91433,0.91435,5.54
25.04.2022 17:39:50.000 UTC,0.91435,0.91435,0.91433,0.91433,2.54
25.04.2022 17:39:55.000 UTC,0.91431,0.91431,0.91431,0.91431,1.2
25.04.2022 17:39:56.000 UTC,0.91431,0.91431,0.91431,0.91431,1.2
25.04.2022 17:39:57.000 UTC,0.9143,0.91432,0.91429,0.9143,6
25.04.2022 17:39:58.000 UTC,0.91431,0.91431,0.91431,0.91431,1.2
25.04.2022 17:40:00.000 UTC,0.91432,0.91433,0.91431,0.91431,6.140000000000001
25.04.2022 17:40:01.000 UTC,0.91429,0.9143,0.91428,0.9143,5.08
25.04.2022 17:40:02.000 UTC,0.91432,0.91432,0.91432,0.91432,4.8
25.04.2022 17:40:03.000 UTC,0.91433,0.91433,0.91431,0.91431,2.4
25.04.2022 17:40:04.000 UTC,0.91432,0.91433,0.91429,0.9143,4.8
25.04.2022 17:40:05.000 UTC,0.9143,0.9143,0.91429,0.91429,4.8
25.04.2022 17:40:06.000 UTC,0.91426,0.91429,0.91426,0.91427,4.94
25.04.2022 17:40:07.000 UTC,0.91427,0.91427,0.91427,0.91427,1.2
25.04.2022 17:40:08.000 UTC,0.91428,0.91428,0.91428,0.91428,1.2
25.04.2022 17:40:09.000 UTC,0.91428,0.91428,0.91428,0.91428,3.5999999999999996
25.04.2022 17:40:10.000 UTC,0.9143,0.91431,0.9143,0.9143,6
25.04.2022 17:40:11.000 UTC,0.9143,0.91432,0.9143,0.91431,4.8
25.04.2022 17:40:14.000 UTC,0.9143,0.91433,0.91427,0.91428,10.799999999999999
25.04.2022 17:40:15.000 UTC,0.91429,0.9143,0.91429,0.9143,4.8
25.04.2022 17:40:16.000 UTC,0.91432,0.91432,0.91431,0.91431,2.4
25.04.2022 17:40:17.000 UTC,0.91435,0.91435,0.91433,0.91433,4.8
25.04.2022 17:40:18.000 UTC,0.91433,0.91433,0.91432,0.91433,4.8
25.04.2022 17:40:19.000 UTC,0.91432,0.91439,0.91432,0.91439,9.6
25.04.2022 17:40:20.000 UTC,0.9144,0.9144,0.9144,0.9144,1.2
25.04.2022 17:40:21.000 UTC,0.91439,0.91447,0.91439,0.91442,9.6
25.04.2022 17:40:22.000 UTC,0.91441,0.91447,0.91441,0.91443,10.799999999999999
25.04.2022 17:40:23.000 UTC,0.91443,0.91446,0.91443,0.91446,8.4
25.04.2022 17:40:24.000 UTC,0.9145,0.9145,0.91446,0.91448,8.4
25.04.2022 17:40:25.000 UTC,0.91449,0.91452,0.91448,0.91451,7.2
25.04.2022 17:40:26.000 UTC,0.91449,0.9145,0.91448,0.91449,9.6
25.04.2022 17:40:27.000 UTC,0.91449,0.91453,0.91449,0.91452,4.94
25.04.2022 17:40:28.000 UTC,0.91451,0.91452,0.91447,0.91452,7.2
25.04.2022 17:40:30.000 UTC,0.91453,0.91457,0.91453,0.91454,10.799999999999999
25.04.2022 17:40:31.000 UTC,0.91453,0.91453,0.91449,0.9145,7.2
25.04.2022 17:40:32.000 UTC,0.9145,0.9145,0.9145,0.9145,2.4
